ID_IE;ID_SECCION;seccion;cor_est;sexo;gestion2;area;caracteristica2;cod_DRE;nom_dre;cod_UGEL;nom_ugel;codgeo;departamento;provincia;distrito;Estrato_DRE;M500_EM_2S_2023_CT;grupo_EM_2S_2023_CT;M500_EM_2S_2023_MA;grupo_EM_2S_2023_MA;M500_EM_2S_2023_CS;grupo_EM_2S_2023_CS;peso_CT;peso_MA;peso_CS
2844;05;E;23;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;658;Satisfactorio;642;En proceso;586;En proceso;2,58;2,58;2,58
2844;03;C;26;Hombre;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;795;Satisfactorio;644;En proceso;665;Satisfactorio;2,50;2,50;2,50
2844;03;C;22;Hombre;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;660;Satisfactorio;672;Satisfactorio;701;Satisfactorio;2,50;2,50;2,50
2844;05;E;17;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;604;En proceso;610;En proceso;499;En inicio;2,58;2,58;2,58
2844;05;E;19;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;710;Satisfactorio;541;En inicio;566;En proceso;2,58;2,58;2,58
2844;05;E;16;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;795;Satisfactorio;751;Satisfactorio;786;Satisfactorio;2,58;2,58;2,58
2844;05;E;18;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;648;Satisfactorio;642;En proceso;600;En proceso;2,58;2,58;2,58
2844;05;E;12;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;639;En proceso;601;En proceso;562;En proceso;2,58;2,58;2,58
2844;05;E;28;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;623;En proceso;652;Satisfactorio;671;Satisfactorio;2,58;2,58;2,58
2844;05;E;01;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;749;Satisfactorio;515;Previo al Inicio;624;Satisfactorio;2,58;2,58;2,58
2844;03;C;19;Hombre;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;567;En inicio;678;Satisfactorio;410;Previo al Inicio;2,50;2,50;2,50
2844;03;C;20;Hombre;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;631;En proceso;711;Satisfactorio;665;Satisfactorio;2,50;2,50;2,50
2844;05;E;09;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;656;Satisfactorio;603;En proceso;669;Satisfactorio;2,58;2,58;2,58
2844;05;E;26;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;722;Satisfactorio;665;Satisfactorio;692;Satisfactorio;2,58;2,58;2,58
2844;03;C;25;Hombre;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;614;En proceso;746;Satisfactorio;497;En inicio;2,50;2,50;2,50
2844;05;E;07;Mujer;Público;Urbana;Polidocente completo;2300;Tacna;230001;Tacna;230101;TACNA;TACNA;TACNA;23001;660;Satisfactorio;620;En proceso;566;En proceso;2,58;2,58;2,58
